Area,CO2pc,N20pc,CH4pc,CO2pc_n,N20pc_n,CH4pc_n,Total_emissions
Lithuania,5.618929338332647,0.007676814105630903,0.05112724468452029,0.15838345576786989,2.9932268645699938,-0.15379715681347728,2.9978131635243863
Luxembourg,15.819697884401222,0.00195735245010388,0.035480076918901225,1.9144430395867365,0.13720697858418873,-0.3000462327921661,1.7516037853787592
Madagascar,0.15428430798589657,0.0009436671934756883,0.034279228001849474,-0.7823537283344975,-0.368977943254223,-0.3112701838061456,-1.462601855394866
Malawi,0.08062986899470123,0.0008639210082076414,0.01565533709028961,-0.7950333203571142,-0.4087992944013116,-0.4853417396137258,-1.6891743543721516
Malaysia,8.385083726112232,0.0009778923729487617,0.06315095484710134,0.6345761956624599,-0.351887559741979,-0.04141538092577703,0.2412732549947039
Maldives,3.160499675349867,0.00033649271681115983,0.012224608888471449,-0.26483455484853086,-0.6721712303254216,-0.5174076595914224,-1.454413444765375
Mali,0.18399243354343356,0.002317839333996111,0.04996661532801406,-0.7772394824453763,0.31721652686717294,-0.16464518844995923,-0.6246681440281626
Malta,4.676825621559605,0.00031815389372358044,0.012259502915054538,-0.0037994477377964312,-0.6813287431436233,-0.5170815162777318,-1.2022097071591515
Marshall Islands,3.3703711757159325,0.00021309443562591055,0.010543825697449391,-0.22870523205056245,-0.7337903067678644,-0.5331174028682603,-1.4956129416866872
Mauritania,0.8097947133873695,0.002542550282013865,0.07332458849952887,-0.6695077869233581,0.4294262023210232,0.05367432114046475,-0.18640726346187017
Mauritius,3.555441989654009,0.000853416871175353,0.017755625564988213,-0.19684534080478253,-0.4140445475485803,-0.4657110145320735,-1.0766009028854362
Mexico,3.9396402632766994,0.0031561528432696726,0.04864304079686705,-0.13070571049802376,0.735829360972312,-0.1770162165534927,0.4281074339207956
Monaco,2.4683356288314564,0.00046990196872721373,0.016722028680223607,-0.38399041079939983,-0.6055531639067858,-0.4753717142571329,-1.4649152889633186
Mongolia,11.611555152969778,0.014966414253390733,0.39450007917215946,1.190012391029777,6.633297248251714,3.055598978782545,10.878908618064036
Montenegro,3.724187788520164,0.0013196506481063575,0.05492220348243343,-0.16779579654840507,-0.18123016419722962,-0.11832688986897034,-0.467352850614605
Morocco,1.7657777628959601,0.000861017062940987,0.02996608086766712,-0.5049355599900307,-0.4102493828762233,-0.3515837915071071,-1.2667687343733611
Mozambique,0.3391803079118259,0.001159401898009501,0.03366173894549182,-0.7505239312742714,-0.2612505655122236,-0.3170416566549053,-1.3288161534414002
Myanmar,0.511965838158931,0.0014305164617166586,0.06355509646125868,-0.7207789483383932,-0.12586919013754097,-0.037637998429443376,-0.8842861369053775
Namibia,1.7818995045060027,0.00411363938678461,0.07599867812842939,-0.502160206472861,1.2139513895027214,0.07866818221289526,0.7904593652427557
Nauru,4.267192217376719,0.0001677289500167729,0.01274740020127474,-0.07431772898484434,-0.7564436152155037,-0.5125212962845008,-1.343282640484849
Nepal,0.4679599667615122,0.0008618882458278598,0.03668703005804388,-0.728354547359461,-0.4098143566798618,-0.2887652275653261,-1.4269341316046489
Netherlands,10.07824116127914,0.0025584804202141817,0.04804899236042583,0.9260527964216193,0.4373809355156483,-0.18256859741995274,1.180865134517315
New Zealand,7.668081147027008,0.01050084261198555,0.2752149931611404,0.5111443929567007,4.403408811492491,1.940679405575058,6.85523261002425
Nicaragua,0.8126613892112468,0.001731405444694368,0.061286536858933635,-0.6690142894450568,0.024380076422005154,-0.058841499958430306,-0.703475712981482
Niger,0.10641333339357147,0.0017511006084140813,0.04114913909509379,-0.7905947038394265,0.03421487952570112,-0.2470593205692629,-1.0034391448829882
Nigeria,0.7329086250506667,0.0007294406667698216,0.04476664907669165,-0.6827437065186565,-0.4759522106289112,-0.21324761099490472,-1.3719435281424723
Niue,4.112347641759406,0.0005829358770535241,0.025437201907790145,-0.10097418136753712,-0.5491095492077216,-0.3939137756309227,-1.0439975062061815
Macedonia,3.518633389023185,0.0009224075238550815,0.031564506307337,-0.20318193158348727,-0.37959398421452323,-0.33664381980908525,-0.9194197356070957
Norway,10.34392280585507,0.0028019772905246675,0.1617339128666948,0.9717898206561445,0.5589713833001912,0.8800080187319431,2.410769222688279
Oman,17.017458869584324,0.0009686476684016651,0.27631478343381893,2.1206372736443018,-0.3565039138005916,1.9509587937403081,3.7150921535840182
Pakistan,1.1459441366614567,0.0010375527486437208,0.03466055038932314,-0.6116397533855177,-0.3220960811636535,-0.30770608532817384,-1.241441919877345
Palau,13.754422301836094,0.004388714733542319,0.05894536497984773,1.5589063990275944,1.351310586539259,-0.08072368523006355,2.8294933003367895
Panama,2.635132782986876,0.0010283163935941497,0.039257980603828575,-0.35527632521011115,-0.3267082658908837,-0.2647353745376052,-0.9467199656386001
Papua New Guinea,0.8752595472272247,0.0006883850076753412,0.03777218627009504,-0.6582380332427011,-0.49645340215150485,-0.2786226192874415,-1.4333140546816474
Paraguay,1.0995888925722856,0.005042145922107333,0.1454936331038867,-0.6196197962886991,1.6776022169519915,0.7282153144851808,1.7861977351484732
Peru,1.7295713841758016,0.0009679901318919199,0.042533529433537706,-0.5111684784274767,-0.3568322554279508,-0.23411986655279113,-1.1021206004082185
Philippines,1.3110576224654376,0.00043554026866420486,0.030036761193608083,-0.5832155108537558,-0.6227117191357376,-0.35092316509128696,-1.5568503950807804
Poland,8.482181761712699,0.002587903152261349,0.06091461441866022,0.6512915965870208,0.45207321127302424,-0.062317740134319635,1.0410470677257255
